Companyname;CVR;Telefonnumre
RK Maskinteknik ApS;39684365;
ESN BLL ApS;39685140;
Broholt Begravelse ApS;39687038;
Cafe Amokka ApS;39860155;
PR Estates ApS;39690306;
BENDT RISOM ApS;39861453;
SpecialTandlægeCenter Gentofte ApS;39690667;
CT Sol & Wellness ApS;39865130;
Skovgaard Development ApS;39692317;
Niels Wind;39694298;
Martin Mai Taxi ApS;39697866;
Cecilie Bahnsen ApS;39699419;
Jelling Pizza ApS;39869942;
DH Entreprise ApS;39873087;
Cavallino 2;39873699;
PV ApS;39873826;
S/I Krisecenter Guldborgsund;39701111;
Clement;39702185;
ABL Revision Registreret Revisionsanpartsselskab;39702215;
Pie Systems ApS;39877848;
Rosenfeldt Fotografi ApS;39704390;
Taxivognmand Torben Abel ApS;39704676;
MS Maler & Byg ApS;39707284;
IREKS NORDIC ApS;39708280;
Lorentzen & Partners ApS;39889129;
LTK ApS;39708558;
db Nørresundby ApS;39892146;
Roskilde Fødeklinik ApS;39709503;
Allquip ApS;39893495;
Sydvestsjællands Kloakservice A/S;39893991;
Mul10-4maet ApS;39894041;
Tandlægerne i Tjele;39894556;
WOHN A/S;39898047;
BIOSIS ApS;39898845;
IT Stack ApS;39898985;
Fantastic Food ApS;39902060;
Jernkroen ApS;39903490;
H-E Eksport ApS;39903938;
QUENT ApS;39711303;
Shell Ryomgaard ApS;39908190;
D.M.Z. SERVICE;39908719;
Jama Taxa ApS;39909901;
I/S Dagsletters Værn;39910357;
ORIGO Agro ApS;39712741;
Egolibris ApS;39919494;
APQP4Wind;39713349;
Fasan Pub ApS;39924234;
ETK EMS Sønderborg A/S;39924595;
PC Maskiner.dk A/S;39714078;
DanaDynamics ApS;39714329;
OTA ApS;39929570;
Beautybybidi;39716348;
Dansk Ejerkapital Forvaltning ApS;39931877;
Jensen Leasing A/S;39721392;
RCR dairy ApS;39722062;
Dansk Brød Taastrup ApS;39935171;
Data & Research ApS;39935740;
L.T.H. ApS;39936186;
RawnRice ApS;39936275;
EJENDOMS- OG ADMINISTRATIONSSELSKABET AF 22/12 1975. ESBJERG A/S;39938014;
E. Skov Jørgensen ApS;39940094;
BernhardThams ApS;39940264;
ASN Maskinservice ApS;39943832;
37-NM Levering ApS;39724464;
Wings;39944499;
Silkeloppen ApS;39945983;
vrold malerfirma;39729431;
KL Invest ApS;39731541;
Angels Nails ApS;39733633;
La Baracca Tivoli ApS;39952378;
Frederiksstadens Hudklinik/ Nadeem Janju;39734907;
Lime Technology ApS;39736284;
FILCOLANA A/S;39956713;
Dan-Inject ApS;39736497;
InnoCell ApS;39737752;
KK Retail Service ApS;39964031;
Lægerne i Brohuset;39739127;
Bollywood Indisk Take Away;39755920;
Pico Pizza Nørrebro ApS;39972190;
Nigma;39976536;
Eyr Medical Danmark ApS;39976633;
Restaurant Nepali Bhancha ApS;39759063;
Woburn ApS;39979772;
Presidents Institute A/S;39980126;
Dalforno ApS;39980657;
Jailhouse 2018 ApS;39980665;
VenomAid Diagnostics ApS;39981165;
Blue Cell Therapeutics ApS;39981610;
Kieler ApS;39982021;
Social Brew ApS;39766558;
Leadways ApS;39984512;
Smart Group ApS;39986922;
Tandlægeselskabet Colosseumklinikken Østerport ApS;39987341;
Baltech ApS;39988321;
Cafe Katz ApS;39766744;
Joris van den Berg;39988682;
Holst Vinduespolering ApS;39783274;
DCC & Shell Aviation Denmark A/S;39990466;
WeZimplify a/s;39991772;
Delta Stilladser ApS;39789639;
Tandregulering.dk I/S;39996006;
Lægerne i Frederiksgade I/S;39996014;
Roman pizza;39996294;
Skandinavisk Display & POS A/S;39996308;
Tandlæge Thomas Winther ApS;39996839;
Nyborg Bilcenter A/S;39997339;
Murerfirmaet Ken Hansen ApS;39997363;
Jazz Pharmaceuticals Denmark ApS;39791447;
CB Auto ApS;39791773;
INC ApS;39793768;
Flytbar ApS;39793776;
ROYAL INDIAN Valby ApS;40014357;
HABO Invest ApS;40014551;
Hellisen Outdoor ApS;40015442;
Klausholm-Jensen Invest ApS;40015949;
CNJ Byg ApS;40017178;
Tømrer- og Snedkerfirmaet N.P. Liltarp af 2018 ApS;39655543;
Livbjerggaard Entreprenørforretning A/S;39656892;
Sushi Factory Amager ApS;40019987;
POK ApS;39658178;
Stråtag v. service Fyhn ApS;40020926;
Posh Nails ApS;40022821;
Stauning Øko I/S;40024352;
Kamp Innovation Aps;40027157;
Jysk Kranservice ApS;40030689;
GT Forsyning ApS;40031006;
MS Revision ApS;40032622;
Min Maler ApS;40034471;
K.S. Smede og Montage A/S;39658941;
ILK Company ApS;40035087;
The Pantry ApS;40035141;
Morten Salling Bojsen;39660903;
Voice & Writing 2.0 ApS;40036334;
Guidewire Software Denmark ApS;40037144;
AFUK Productions ApS;40042644;
MIN OLIVIA APS;40043039;
HEDSTRØM A/S TØMRER & SNEDKER;40043136;
Hirtshals Havnefond;40045929;
Kin_D;40046240;
Furesø El & Data ApS;39661934;
Intmed Danmark ApS;39662442;
Emma Emma ApS;40047697;
ShareWine ApS;40048294;
Skøtts Kaffebar;39665743;
Dianalund Motor A/S;39668009;
Vognmand Michael Andersen Brande ApS;39668122;
Landbruget Holmager ApS;39668483;
Lapis ApS;40053921;
Agriadvice ApS;40054227;
RSV NORD ApS;40054413;
Ærø-Bilen v/Erik Eriksen;39848112;
Formarkivet ApS;39850044;
KL Bækgaarden ApS;39857561;
Lakcentrum A/S;39857901;
Den Sociale Investeringsfond S/I;40056823;
Maskinfabrikken Seema ApS;39678632;
Hvid Ventilation Montage ApS;40061959;
Pact Trade A/S;40062351;
Tandklinikken Almera  I/S;40063021;
Bostedet Taarnborg ApS;39858045;
Seinhuus;39858126;
Boom Agency ApS;40067981;
Daniel Juul Christensen;39858177;
Cymab ApS;39859173;
Rockstart Accelerator Denmark filial af Rockstart Accelerator Management B.V. Holland;40071245;
Falafel House;39860627;
Specialistklinikken for Tandregulering I/S;40075542;
Søren P. Pedersen;39861968;
Hofu ApS;39865823;
NH VVS ApS;39866854;
MMY Import;39867109;
CeriXClinic Hellerup No1 ApS;40085114;
Selskab af 18. juni 2025 ApS;40086625;
Café Havglimt ApS;40086943;
TWings ApS;39868342;
Dentolab Viborg P/S;40087354;
Vilhelmsson-Group ApS;40087990;
Nature Preserve ApS;40088113;
Insula Fersk Fisk A/S;40089934;
PVH Byg ApS;40091114;
Pizzeria La Ferarra ApS;40091440;
Murermester Gørecki ApS;39876884;
Thorup Entreprenør ApS;40092927;
Tandlægeselskabet 3D ApS;40092994;
Uni Pizza ApS;40093036;
Noora ApS;40095969;
BioCirc Haderslev Biogas ApS;40096388;
AK Ejendomsservice ApS;40096523;
Sanovo Technology Process A/S;39876965;
A. Holst ApS;39877791;
Bilhuset Midtsjælland ApS;40098410;
Morten Tewes ApS;40099921;
Atlas CPH ApS;39880067;
esmé studios ApS;39885107;
JW BYG & ANLÆG APS;40101454;
Frey A/S;40101772;
Ejendomsselskabet Markedsgade 10 ApS;40103511;
Isabellas ApS;39885492;
Frisør Ole Waves ApS;40103724;
JUNGLE GRILL APS;40103783;
Concordium Research ApS;39887185;
Centertandlægerne Rødovre ApS;40105913;
Breinholt Teknik ApS;40107304;
Café Bryggeriet v/Jan Ruff;40108173;
Munus ApS;40109919;
Copenhagen Sundhedshus Yavari ApS;40111891;
Hutlihut ApS;39891980;
Elk Equipment ApS;40115080;
Jada Group ApS;39892782;
Taulov Autoværksted ApS;40115935;
Campanyon Denmark ApS;40116664;
Murermester Jimmy Jacobsen ApS;40118950;
Candy Ringsted;39904837;
Il Ponte Næstved ApS;39916819;
modl.ai ApS;40122397;
Frk. Lillevik ApS;40124810;
MVO Byg ApS;39924072;
HAJ-SS Ejendomme ApS;39926385;
Mardin Food ApS;40128077;
Circle K Terminal Denmark ApS;40130977;
IF Store ApS;40133925;
HEINEMOSEGAARD ØKOLOGI A/S.;39928205;
Kiyomi ApS;40134271;
Blue World Technologies ApS;39931664;
Nem Logistik ApS;40135820;
Restaurant Ciao ApS;40136010;
Chamar ApS;39932261;
Forward Energy ApS;40139257;
SMEDEKROEN I/S;40139575;
Sebbelev Tømrerforretning ApS;39934396;
Lyngby nøgler og hæle.;39944367;
Fattys ApS;39947587;
Kappelseje;40155155;
Rømø Bageri ApS;39952033;
ZOEY ApS;40159843;
MK Taxa ApS;40162240;
nor|anlæg ApS;39952238;
Ice Cream ApS;40165533;
Ballum Slusekro ApS;39954435;
Guest Apart Aarhus ApS;39954664;
Suir Engineering ApS;39960575;
Josefine Jensen;39961547;
Honestus & Partners Pensionsmæglervirksomhed ApS;40176691;
Kisgaard Svineproduktion A/S;40183167;
Beder VVS ApS;40190007;
Navigate A/S;40190856;
SalSal Sandwich ApS;40192972;
Frisør Lea M;40196617;
Helle Svensson ApS;40197672;
SKA Logistik ApS;40199551;
Dragør Pizzahus ApS;39970325;
Bæredygtige børn ApS;40201165;
DE Ejendomme A/S;39971941;
RepFone Randers ApS;40207880;
Dreamcraft Ventures Management ApS;40209808;
Café Møller ApS;40209824;
VHB Planteavl ApS;40210393;
abrdn Investments Ireland Limited Denmark filial af abrdn Investments Ireland Limited;39979543;
Gustav Lind ApS;39984415;
HABITURA ApS;39988399;
Steensberg Konservering ApS;39989972;
N.I.S. ApS;40213635;
EPConsult Energies Nord filial af EPConsult Energies Limited;39995581;
Det grønne køkken Næstved ApS;40216499;
Øjenklinikken Mors;40218270;
Trial Nation;40220909;
Careclean Service;40223398;
Kairos Technology ApS;40002618;
Grønblad;40228918;
Kolding Bolig Invest ApS;40007156;
Inpensas ApS;40007490;
DigiHouse Nordic ApS;40233113;
Struktur ApS;40233598;
Byens Pizza Klarup ApS;40235078;
E.J Byg ApS;40235094;
DB Himmerland - Støvring ApS;40237267;
Espergærde KKC ApS;40238972;
MCH Energi Byg ApS;40239057;
Hydraulik Team A/S;40241043;
Kaatsu Massage & Fysioterapi ApS;40243259;
ABC Skilte ApS;40243496;
Jenitek ApS;40243720;
COMPA Mobility ApS;40244336;
Off The Pitch ApS;40008977;
Køtter Ventilation ApS;40017569;
Nadja Holst ApS;40248242;
Talents Unlimited Denmark ApS;40251472;
Copenhagen ManPower ApS;39799375;
Holme Biler ApS;39806908;
Lagunen ApS;40258825;
TØMRERMESTER MARTIN ANDERSEN ApS;39808838;
Mammas Food ApS;40260382;
Hotel Møen ApS;40261249;
Morsø Elservice ApS;40261478;
CareRisk ApS;40262466;
Vesterskov Bogføring ApS;39811561;
Røst Kommunikation ApS;40262911;
Lemon Construct ApS;39819899;
EPOS GROUP A/S;39820242;
L&C Fusion ApS;40273824;
Klæstruplund;39824752;
MexSteak ApS;39825236;
Hybel Danmark A/S;39831589;
Kaya Entreprise ApS;39837501;
UL GmbH Denmark filial af UL GmbH Schweiz;39837633;
Bilhuset Ansø ApS;39839466;
SMT Byg;39841118;
S.D.S. ApS;39841223;
MI Import ApS;40018263;
Viadukt ApS;40297499;
Hindevad Tømrerfirma ApS;40020748;
Lægecenter Værløse;40298096;
Amager Pakkeshop ApS;40034633;
GÆV ApS;40302298;
CP 2019 ApS;40309365;
SB Facilities ApS;40309667;
LAB3d ApS;40312250;
Birch Projektudvikling ApS;40035192;
HJM Recycling Køge A/S;40314377;
Full Entreprise ApS;40315306;
Le Duex ApS;40315470;
MF Interlogistics ApS;40315969;
Churney ApS;40319042;
Keyhole ApS;40320377;
Fratelli Kolding ApS;40322760;
Oksen Bodega ApS;39843684;
KAFFEKOPPEN cafe & bagelbar;39848066;
Rap Tag ApS;40326774;
Leader Service;40329749;
PVJ - Taxa 3 ApS;40332596;
Murermester Uwe Thomsen ApS;40055746;
Tandlægeselskabet ORIS Tandlægerne Nakskov I/S;40055770;
Pizza Hot House;40333991;
Reshape ApS;40056173;
Speciallægeselskabet Groblos ApS;40336966;
101 Copenhagen ApS;40058966;
Tømrerfirmaet Vind - Bundgaard ApS;40344640;
Høyers Maskinfabrik ApS;40063366;
Filt Cph ApS;40066411;
J.A.P. 2 ApS;40347089;
JJ SAP Freelance;40349340;
Allego Denmark ApS;40068562;
Forcemile ApS;40354905;
Sublime IT ApS;40355847;
FRAMING ApS;40069607;
Jesper Kraglund Jensen;40357483;
RiACT ApS;40074139;
Athlee Aps;40360077;
J. Sühler Eftf. ApS;40364102;
SH Landbrug ApS;40366865;
BAC Corrosion Control A/S;40369740;
GM Autoteknik ApS;40078908;
Female Invest ApS;40372555;
Danica Rådgivning ApS;40078916;
Nadia Wire ApS;40081275;
Seapeak Marlin A/S;40084037;
Altec Cars ApS;40374191;
Gerlev Autolakereri ApS;40087192;
By og Landskab Development ApS;40092749;
I/S -Jespersen;40097066;
Citymedia ApS;40379975;
6 Stjernet Facility ApS;40381384;
IND Rengøring ApS;40385037;
Det Libanesiske Køkken;40097449;
Helnæs Mølle ApS;40100385;
Bias Ejendomme ApS;40101152;
MOS Madhus;40103554;
BlackBird Maintenance ApS;40105565;
Weber Machinery Denmark A/S;40111905;
Otiom A/S;40115420;
Vestjysk - Haveservice ApS;40398449;
Bente Obling;40399232;
Jens Jakobs Maskinudlejning ApS;40400370;
Padborg Dækcenter A/S;40403302;
St. Pauli 54 ApS;40403981;
ZyXEL Networks A/S;40407960;
MIB bageri - Godsbanen ApS;40408541;
Full Service Agency ApS;40121994;
Dansk Toilet Udlejning ApS;40414266;
Restaurant Kaos;40122222;
ERPsupporten A/S;40124969;
Intellitech Systems A/S;40125949;
GO-PEN ApS;40134131;
Kandou BUS Denmark ApS;40135545;
Eventyrpandekager ApS;40136754;
TM Nedbrydning ApS;40147667;
SIRÈNE OOONO ApS;40429352;
Badger & Friend ApS;40430873;
Samar Law Advokatanpartsselskab;40431020;
LÉANOWSKI BAR ApS;40432728;
Speciallægen Pia Saustrup ApS;40432833;
Saabye El & Teknik ApS;40432906;
Min Osteopat JAC ApS;40433287;
HEXAWARE TECHNOLOGIES FILIAL AF HEXAWARE TECHNOLOGIES UK LIMITED;40433473;
Wibergis Consulting ApS;40434712;
DK Agro A/S;40435050;
Gedved Grillen;40435344;
Bislev Catering ApS;40435824;
Zafran Aarhus ApS;40436359;
KP Multiservice ApS;40437525;
Asserbo Grill ApS;40437819;
MIBbageri - Trøjborg ApS;40438025;
ASD 338 ApS;40439056;
MY ApS;40440488;
VVS Nord ApS;40440887;
Gustav Hansen;40148620;
I/S Lund;40151680;
MCJ Ventilation ApS;40443665;
Vaskekonerne A/S;40444122;
Spudo ApS;40156518;
DTK East A/S;40165495;
Tandlægeselskabet Colosseum Næstved ApS;40445439;
Ørnegaard ApS;40446842;
DT7226 ApS;40167412;
House of Wellness ApS;40448012;
Vild Nord Danmark ApS;40450483;
bibo consulting ApS;40172599;
Kristensen Øko ApS;40452419;
Hennings Gulvservice A/S;40173048;
Vos Gulve ApS;40175342;
Rønbjerg Transport ApS;40201009;
Foreningen TV RØST;40458395;
Vitra A/S;40459677;
CARE Pensionsmægler ApS;40460926;
Kronehuse A/S;40462163;
Folkebos Bageri ApS;40465863;
Flindt & Ørsted ApS;40201645;
Lægernes Hus Norvangen I/S;40211837;
Viotek ApS;40212906;
Jan Nygaard Intertrade A/S;40212949;
MFT Energy 1 ApS;40213066;
Jensen Autoservice ApS;40214585;
Aidian Denmark ApS;40227288;
Bornholms Keramikfabrik ApS;40232435;
Bicycle Brewing ApS;40232567;
GreenGrow ApS;40246266;
MFT Energy 3 ApS;40247645;
Carlight ApS;40252460;
Sequoia Sommerdahl ApS;40256644;
R. Q. ApS;40493123;
AR Maskinservice ApS;40259619;
J.B. Søbye ApS;40262741;
BogøBrød ApS;40494618;
Estate Hellerup ApS;40495231;
Søndergaard & Christiansen ApS;40498915;
Café Strand Greven ApS;40266747;
Waitly ApS;40499229;
Medarbejderfordele ApS;40270833;
SCHOUWS MURERFIRMA APS;40501096;
60 North ApS;40501975;
Rolfsted Vinduer ApS;40503730;
Cafe Cetini;40504613;
Wine Experience ApS;40504788;
Søtoftes Jordbrugsfond;40505482;
Tandlæge BK ApS;40505792;
Kronborg Service;40505830;
Armandos Trattoria ApS;40506691;
Mit Marked ApS;40506896;
Y-Camp;40508295;
Spilhuset;40508465;
TATTAS ApS;40278214;
Ingemanns Bilpleje ApS;40509143;
Jens O Thomasen ApS;40280995;
Seljadin Aliji ApS;40509763;
Thomsen A/S;40281673;
Waisi ApS;40281762;
QUICK MOVE ApS;40512993;
Driftsselskab af Januar 2024 ApS;40514325;
EP byg og montage;40284990;
Rener ApS;40285547;
Profitmetrics ApS;40286209;
Snestrup Have ApS;40289003;
Visit Lolland-Falster A/S;40296042;
Move On Career ApS;40297561;
Assens Fjernvarme Distribution A/S;40517898;
Assens Fjernvarme Produktion A/S;40517987;
Faurholt Hundepension;40302166;
Vinderup Bilcenter ApS;40312471;
ESTECH A/S;40046992;
Advokatfirmaet Lunøe og Schack Petersen I/S;40047026;
Femstjernet Bilpleje K/S;40048820;
Lbs Entreprise ApS;40050086;
BBBC 71 ApS;40522352;
Lalandia Søndervig A/S;40523219;
My Corner ApS;40525009;
Exercere ApS;40525084;
Salon Ella 2018 ApS;40050337;
Gronell ApS;40527664;
CoCoach ApS;40053468;
Sørensen & Frandsens Eftf. ApS;40055681;
eToro Denmark ApS;40333452;
Mårslet Catering;40334912;
Dolphin Hotel Herning ApS;40531238;
Boye Entreprise ApS;40342036;
Amesto NextBridge A/S;40344675;
Tømrerfirmaet Jørn Bech ApS;40346929;
Lægerne Byparken I/S;40350020;
SERVIA A.M.B.A.;40532285;
Pinsame Odense ApS;40532579;
Wendys Service v/ Kasper Chanuphat Christensen;40356126;
Strømsol Aps;40359699;
Gris & Gris ApS;40369791;
Sonik Ejendomme II ApS;40535462;
Nyborg Autoophug ApS;40535985;
Seapeak Dolphin A/S;40536299;
Grinden Byg Aps;40537775;
CNS Event ApS;40539093;
Exodraft Energy HP A/S;40372938;
Handelsskabet LP ApS;40541039;
Hundborg Transport ApS;40541799;
Valby Tandklinik I/S;40542000;
Valby Tandplejeklinik I/S;40542043;
Antidark ApS;40373586;
Popo Asian ApS;40545778;
Perfekt Shine ApS;40373772;
Chase ApS;40546405;
Viggo Denmark ApS;40547746;
In Vino Veritas P/S;40549188;
DANSK NATUR ApS;40374655;
Piccolo Risskov ApS;40377891;
Canvy ApS;40549943;
Mongolian Barbecue Ribe ApS;40378731;
D.J. 2.476 Silkeborgvej ApS;40387552;
Lindberg Dining v/Lasse Lindberg;40559124;
Eliza Invest ApS;40390316;
Skanlux DE 3 ApS;40560971;
Pizza Bro ApS;40563504;
Arnulia Star ApS;40391258;
Gilleleje Bådebyggeri 2019 ApS;40566244;
Surf Shack ApS;40391754;
Leops ApS;40567089;
Pedersen Installation ApS;40567283;
Henrik´s Tegne- og Byggefirma ApS;40393137;
Lundgren & Thomsen ApS;40569251;
OVI SERVICE;40393943;
Eco Log ApS;40571515;
Kiropraktisk Klinik Haarby ApS;40573860;
SKJ Tømrer og Tagdækning ApS;40576290;
paradiso kebab;40394621;
JOEs Tømrer og Snedkerforretning ApS;40579583;
Stalex ApS;40583416;
Kasus Advokatpartnerselskab;40584714;
Jelling El Tekniq ApS;40587977;
Estate v/Thomas kruse;40588094;
Layerise ApS;40409823;
Estaldo ApS;40415807;
Langeberg Byg ApS;40591141;
Fonden Æblegården;40419675;
SeaLytix ApS;40592903;
Brandt & Vigkilde ApS;40422161;
Tindbæk Vandværk A.m.b.a.;40593535;
Brobygning Middelfart;40593640;
360.dk A/S;40422722;
Café Strygejernet ApS;40593934;
Lægerne i Hørning. I/S;40594035;
Cytoki Pharma ApS;40594132;
Sushi Anaba ApS;40427678;
SGL Fulfillment & Distribution A/S;40428224;
Sjarp ApS;40598561;
Uldahls ApS;40598847;
Vanløse Bygge-Entreprise ApS;40599134;
Systembyg ApS;40428852;
Mozarts Kiosk & Pakkeshop ApS;40441697;
Team Svanholm ApS;40600094;
Rejnstrup ApS;40442650;
Bikubenfonden;40444521;
Byens Cafeteria ApS;40445382;
Dahl & Drabæk ApS;40447822;
Vores Skotterup ApS;40451323;
Bageren i Nansensgade ApS;40604669;
Højby Autoværksted ApS;40605347;
Midwestern ApS;40453482;
Meldgaard Boligudlejning ApS;40606580;
Rask 2024 ApS;40606858;
Lester Løndal A/S;40454233;
Egedal Tandlægerne ApS;40608494;
K H Würtz ApS;40610324;
7 DAYS ApS;40454942;
Marielyst Is ApS;40466681;
WE-CRUIT ApS;40476040;
Arnes Jern & Produkt ApS;40612904;
Vijay Taxi ApS;40476644;
Ullerslev forsamlingshus;40613676;
Speciallægeselskabet Allergi- og Lungeklinikken Odense ApS;40479031;
Viborg Ingeniørerne Brandrådgivning ApS;40615083;
S 255 NORTH SEA ApS;40615466;
Vertiv Denmark ApS;40479910;
Frisør Reinholdt ApS;40616152;
FORÆLDRESKOLENS STØTTEFOND;40480617;
Jonson Consult ApS;40481842;
JBL-kviste ApS;40616977;
Avlscenter Kauergaard A/S;40617159;
Dyrlægehuset Trige ApS;40482075;
Østen Group A/S;40619313;
Optimeet ApS;40484876;
Mundhæld ApS;40620540;
Holbæk Green Corner ApS;40487115;
JD-Entreprise.dk ApS;40621350;
Pizza Special ApS;40622454;
Nordic Compliance Services A/S;40488316;
Thus ApS;40489142;
Concordia Import Export S.R.L Filial i Danmark;40493069;
DigiShares A/S;40623620;
Charlotte Lynggaard & Sandra Nielsen P/S;40623825;
AH Autolak Horsens ApS;40624406;
Netto Biler A/S;40624791;
RM VVS TEKNIQ ApS;40626794;
Costa Kalundborg Kaffe ApS;40493484;
Nyhavns Champagnebodega ApS;40493549;
Star VVS Service A/S;40498974;
BTV A/S;40629963;
Tandlæge Carsten Juul Kristensen ApS;40499806;
Glashusene Støvring ApS;40632158;
Restaurant Frihavn ApS;40508988;
JLK Service Ulfborg ApS;40633316;
Maes Consulting ApS;40633596;
Koesmosegård ApS;40509208;
Cafe Mynte;40511946;
Nesager Byg ApS;40635289;
EK Forst ApS;40635599;
Seapeak Insight A/S;40638075;
Adent ApS;40512977;
Westernacher Consulting Denmark ApS;40638342;
Hexatronic Danmark ApS;40639101;
Kakurega ApS;40515682;
Hos Ingeborg anno 2019 ApS;40515984;
Engle Rengøring ApS;40640673;
auto.nu A/S;40516042;
Stellar Music ApS;40516166;
Farum Kloak ApS;40641025;
Autoskadestuen Vejle ApS;40516867;
CAMIANDO ApS;40324232;
Hello Banh Mi;40325581;
Lune Spanskrør ApS;40333363;
Gjensidige Business Services filial af Gjensidige Business Services AB Sverige;40645454;
Grevinge Auto-El ApS;40645772;
DAI FONDEN;40645799;
Søren Østergård ApS;40645853;
Q Pet ApS;40647821;
Vestegnens Erhvervsservice ApS;40529268;
KRS Dyreklinik ApS;40651365;
Alma Property Partners ApS;40651969;
BRDR. ERKUL ApS;40531297;
Café Munk;40531408;
Herning Stenovnspizza;40531653;
Vesthimmerlands Maskinstation A/S;40532048;
Hermans Hule Skanderborg ApS;40654410;
Søderupgaard A/S;40654887;
Strides Nordic ApS;40533605;
Det Lille Apotek v/Vibeke  Nielsen;40655689;
BJ Computers ApS;40656804;
BaneGaarden Venues ApS;40657169;
Taxi 004 ApS;40533761;
Martin Ib A/S;40657738;
Smartlåse ApS;40660887;
Social Tech Projects ApS;40533982;
FirstVet ApS;40541012;
WIIS-EL ApS;40663568;
BL Aalborg ApS;40663789;
Alment praktiserende læge Jakob Fraes ApS;40545301;
PIX ApS;40546146;
Beeflover ApS;40549404;
Brunhøj Belægning ApS;40667008;
Chiesi Pharma Danmark filial af Chiesi Pharma AB;40549889;
Rensø Byg ApS;40552049;
Tangsø Sundhedscenter ApS;40672087;
MA-Byg ApS;40553355;
JL Construction Services ApS;40675418;
WS-tech A/S;40682287;
Alwan Multi-Service ApS;40559736;
KM Thorup Udlejning;40683623;
Cafe Surt og Sødt;40684298;
Valen Byg;40685855;
NoA Connect A/S;40564039;
NORD Stillads Service ApS;40566406;
SH Maskiner og Anlæg ApS;40567992;
Energicenter Toftlund ApS;40569731;
Mastercard Payment Services Denmark A/S;40695869;
Aroy Dee Thai Take Away ApS;40578307;
A-Speakers ApS;40698477;
Restaurant Lazio ApS;40589171;
BJ Icecream ApS;40699171;
Sommer 98;40703667;
Art Cottage v/ Hannah-Louise Hansen;40589295;
Hotel Friheden ApS;40704620;
Centrumlægerne Skive I/S;40704922;
Rimas byg ApS;40705821;
Den Grønne Gren A/S;40708081;
Simson & Zartov ApS;40712852;
Byens Pølsevogn Viborg ApS;40592458;
Cph  Lager & Logistik ApS;40716394;
OSnacks;40720936;
HMBJ A/S;40721010;
Beauty T v/Lotte Jepsen Hyldtoft;40723412;
Lxy ApS;40593101;
Cafe Garibaldi APS;40593853;
CareContact;40727035;
Madonna Burgerbar;40594876;
Fitnesso Food ApS;40727965;
Trummersgård A/S;40595473;
NoA Health A/S;40599959;
UiPath Denmark ApS;40600043;
Kabelentreprenør Charlotte Nielsen A/S;40600205;
Chateau ApS;40600655;
Sams Dyreklinik ApS;40600809;
Amtmandsgården ApS;40738673;
Bestyrelsesforeningens Center for Cyberkompetencer A/S;40739394;
Helge Clausen A/S;40602917;
Jats Entreprise A/S;40604413;
Momo Wok ApS;40740627;
Scanclimb ApS;40606122;
Nørhald Auto ApS;40608079;
Varup Teknik ApS;40610634;
MS Tømrer og Gulvservice ApS;40612092;
Hedensted Antirust & Bilpleje ApS;40743626;
Højbo Freelance Entreprenør & Anlæg A/S;40612548;
Riber Convenience ApS;40747958;
Nordic Apparel Retail ApS;40748458;
Professionel Rengøring ApS;40748482;
Bella Milano Ishøj ApS;40748679;
Tandlægeselskabet Colosseum Holbæk ApS;40750185;
Wsmith ApS;40751572;
SOL El-Service ApS;40613668;
Tandlægeselskabet K P Jensen ApS;40613986;
Tandlægerne i Skals ApS;40755950;
Bøg og byg ApS;40616020;
Nordsjællands tagdækning ApS;40758690;
Gartneriet Svend Erik Nielsen ApS;40616284;
Akut TV ApS;40616349;
F.Z. ApS;40762388;
Tandklinikken ved Langgade Station I/S;40765239;
CMK 1 ApS;40766286;
Pøckel Tømrer & Snedker ApS;40617450;
Fresh Kitchen;40767754;
Big Bowl Valby ApS;40619747;
Djurs Rådgivning og Regnskab ApS;40769919;
Kirstinesminde Landbrug ApS;40620613;
Ved Møllen ApS;40772162;
HØRSMAN REN SERVICE ApS;40772243;
Sander Skovservice ApS;40773681;
Ejendomsselskabet af 10/9-2019 Varde ApS;40773835;
TripleNine Sales A/S;40773894;
HKL Blomst ApS;40775897;
Rømer Vegan Product ApS;40776060;
Brink & Madsen ApS;40776192;
Monolit Film ApS;40776508;
Fyllested Ellegård v/Karsten Larsen;40777881;
Hauswunder Danmark ApS;40777962;
Ejendomsselskabet Henning Poulsen og Inger Hove K/S;40780335;
Stangager P/S;40622551;
PLBold ApS;40622683;
JMH Byg ApS;40623094;
godmadtak ApS;40792236;
Evers Byg ApS;40627472;
db Lystrup ApS;40627979;
PN Kommunikation ApS;40797521;
Universal Rengøring;40797688;
Snedkers rengøring;40799087;
kLAR Miljørådgivning ApS;40799095;
R&E BYG ApS;40803009;
Restaurant Bryggen anno 2019 ApS;40628088;
A&M ApS;40804730;
Doner Kebab ApS;40808590;
Kundevognsservice ApS;40810315;
Rawa Byg ApS;40811648;
Maskinmægler.DK ApS;40812598;
Henlez ApS;40632026;
Den Gylden Saks ApS;40633146;
Fisk & Skaldyr ApS;40633936;
FIT A/S;40634797;
M SUSHI ApS;40818790;
Seapeak Ingenuity A/S;40638199;
Olsens Hjemmeservice ApS;40639756;
Tuk Tuk Hørning ApS;40640444;
MP Handel & Service ApS;40640916;
Langberg & Hansen ApS;40640940;
Wavell Distribution ApS;40641327;
Auto og Elektro Esbjerg ApS;40642145;
Jysk Vakuum Service ApS;40517545;
The Nordic Services ApS;40518282;
BioCirc Grønhøj Biogas ApS;40518495;
Hans Jørn Falther Kjær;40841237;
